ability, 능력
able, 할 수 있는
about, ~에 관한
above, 위의
absence, 부재
abstract, 추상
abstractions, 추상화들
abused, 악용된
access, 접근
accidentally, 우연히
according, 따르는
account, 고려
accuracies, 정확도들
accuracy, 정확도
achieve, 달성하다
across, ~에 걸쳐
actions, 행동들
activation, 활성화
add, 추가하다
added, 추가된
addition, 추가
additional, 추가적인
additionally, 추가로
addresses, 주소들
adjacency, 인접성
adjacent, 인접한
advanced, 고급의
affect, 영향을 주다
affecting, 영향을 주는
after, ~후에
aggregate, 집계하다
aggregated, 집계된
aggregation, 집계
aim, 목표로 하다
algorithm, 알고리즘
algorithmic, 알고리즘의
all, 모든
allow, 허용하다
almost, 거의
along, 함께
alongside, ~와 함께
also, 또한
alternative, 대안의
always, 항상
among, ~중에서
amounts, 양
an, 하나의
analysis, 분석
analysts, 분석가들
analyze, 분석하다
analyzing, 분석할 때
and, 그리고
another, 다른
any, 어떤
applicability, 적용가능성
application, 적용
applied, 적용된
apply, 적용하다
applying, 적용하는
approach, 접근법
are, ~이다
argument, 논거
art, 기술
as, ~처럼
aspects, 측면들
assertion, 단언
assign, 할당하다
assigned, 할당된
assignment, 할당
assisting, 보조하는
associated, 연관된
ASTs, 추상구문트리들
at, ~에
attackers, 공격자들
attacks, 공격들
attempting, 시도하는
attention, 주목
attributed, 속성이 부여된
authors, 저자들
automated, 자동화된
automation, 자동화
available, 이용가능한
avenues, 방법들
average, 평균
averaged, 평균낸
averages, 평균을 내다
averaging, 평균내기
aware, 알고 있는
backpropagation, 역전파
based, 기반한
baseline, 기준선
basic, 기본적인
batches, 배치들
be, ~이다
because, 왜냐하면
becomes, ~이 된다
been, ~였다
beginning, 시작
behave, 행동하다
behaviour, 행동
being, ~인 것
believe, 믿다
belonging, 속하는
below, 아래
benchmark, 벤치마크
benchmarking, 벤치마킹
beneficial, 유익한
benign, 양성의
besides, 게다가
best, 최고로
better, 더 나은
between, ~사이의
big, 큰
binaries, 바이너리들
binary, 이진의
black, 검은
block, 블록
blocks, 블록들
body, 본문
boosting, 향상시키는
both, 양쪽
box, 박스
bridge, 연결하다
brief, 간략한
briefly, 간략히
buffer, 버퍼
bug, 버그
buggy, 버그가 있는
bugs, 버그들
builds, 구축하다
but, 하지만
by, ~에 의해
called, 불리는
callee, 피호출자
calls, 호출들
can, 할 수 있다
capable, 할 수 있는
capacity, 능력
capture, 포착하다
captured, 포착된
captures, 포착하다
capturing, 포착하는
case, 경우
cases, 경우들
CFGs, 제어흐름그래프들
chains, 체인들
challenge, 도전과제
challenges, 도전과제들
challenging, 도전적인
changes, 변경들
characteristics, 특성들
check, 확인하다
child, 자식
choice, 선택
choose, 선택하다
chose, 선택했다
chunks, 덩어리들
class, 클래스
classes, 클래스들
classification, 분류
classified, 분류된
classifier, 분류기
classifiers, 분류기들
classify, 분류하다
classifying, 분류하는
clearly, 명확히
clone, 클론
closeness, 근접성
closest, 가장 가까운
clustered, 군집화된
coarseness, 거칠기
code, 코드
coding, 코딩
columns, 열들
combination, 조합
combine, 결합하다
combining, 결합하는
come, 오다
commercial, 상업적
commodity, 상품
common, 일반적인
comparable, 비교가능한
compare, 비교하다
compared, 비교하여
compares, 비교한다
comparing, 비교하는
comparison, 비교
competition, 경쟁
compilation, 컴파일
compile, 컴파일하다
compiled, 컴파일된
compiler, 컴파일러
complete, 완료된
completed, 완료된
complex, 복잡한
complexity, 복잡도
complicated, 복잡한
computational, 계산의
computations, 계산들
compute, 계산하다
computed, 계산된
computer, 컴퓨터
computing, 컴퓨팅
concept, 개념
concerned, 관련된
conditional, 조건부
conditions, 조건들
connect, 연결하다
connected, 연결된
considerable, 상당한
considered, 고려된
consist, 구성되다
consistently, 일관되게
consists, 구성되다
constant, 상수
constantly, 끊임없이
constants, 상수들
construct, 구성하다
constructed, 구성된
constructing, 구성하는
construction, 구성
constructs, 구조들
consumer, 소비자
consuming, 소모하는
contain, 포함하다
containing, 포함하는
contains, 포함하다
content, 내용
context, 맥락
contextual, 문맥적
contrary, 반대로
contrast, 대조
contributions, 기여들
control, 제어
convert, 변환하다
converting, 변환하는
converts, 변환한다
convolution, 합성곱
convolutional, 합성곱
convolutions, 합성곱들
correspond, 대응하다
corresponding, 대응하는
correspondingly, 상응하게
corresponds, 대응하다
cosine, 코사인
cost, 비용
costs, 비용들
could, ~할 수 있었다
counting, 세는
cover, 다루다
coverage, 커버리지
crafted, 만들어진
crafting, 만드는
created, 생성된
creating, 생성하는
cross, 교차
crucial, 중요한
current, 현재의
currently, 현재
data, 데이터
dataset, 데이터셋
datasets, 데이터셋들
deal, 다루다
dealing, 다루는
debian, 데비안
debug, 디버그
decided, 결정된
deep, 깊은
define, 정의하다
defined, 정의된
defining, 정의하기
definition, 정의
definitions, 정의들
degree, 차수
demonstrate, 입증하다
demonstrated, 입증된
demonstrates, 입증하다
demonstration, 시연
depend, 의존하다
dependence, 의존성
depicted, 묘사된
deploy, 배치하다
depth, 깊이
depths, 깊이들
describe, 설명하다
described, 설명된
description, 설명
designed, 설계된
designing, 설계하는
desirable, 바람직한
desired, 원하는
despite, ~에도 불구하고
detail, 세부사항
detect, 탐지하다
detecting, 탐지하는
detection, 탐지
developing, 발전하는
devices, 장치들
diagonal, 대각선
did, ~했다
difference, 차이
differences, 차이들
different, 다른
differentiate, 구별하다
differently, 다르게
difficult, 어려운
dimensional, 차원의
dimensionality, 차원성
dimensions, 차원들
directed, 방향이 있는
direction, 방향
directly, 직접적으로
disassembling, 디스어셈블하는
discover, 발견하다
discovered, 발견된
discovery, 발견
discuss, 논의하다
discussed, 논의된
distance, 거리
distinct, 구별되는
distributed, 분산된
do, 하다
does, ~하다
done, 완료된
downstream, 하위
due, ~때문에
duplicates, 중복들
duration, 기간
during, ~동안
dynamic, 동적
e.g., 예를 들어
each, 각
earlier, 더 이른
early, 조기
edges, 간선들
effects, 효과들
efficiently, 효율적으로
effort, 노력
efforts, 노력들
either, 어느 쪽이든
embedding, 임베딩
embeddings, 임베딩들
emerge, 나타나다
empirically, 경험적으로
employ, 사용하다
enable, 가능하게 하다
encompass, 포함하다
encompasses, 포함하다
end, 끝
engine, 엔진
engineer, 엔지니어
enhanced, 향상된
enhancing, 향상시키는
enriched, 풍부해진
enriching, 풍부하게 하는
ensure, 보장하다
entire, 전체
entirety, 전체
entries, 항목들
entropy, 엔트로피
entry, 진입
enumeration, 열거
epochs, 에폭들
equal, 같은
equivalence, 동등성
equivalent, 동등한
error, 오류
etc, 등등
evaluate, 평가하다
evaluated, 평가했다
evaluating, 평가하는
evaluation, 평가
even, 심지어
every, 모든
evolving, 진화하는
exact, 정확한
example, 예
except, 제외하고
exception, 예외
excludes, 제외한다
executable, 실행가능한
executables, 실행파일들
executed, 실행된
execution, 실행
existing, 기존의
expanding, 확장하는
expansion, 확장
expect, 예상하다
experiment, 실험
experimental, 실험적
experimentation, 실험
experimented, 실험했다
experiments, 실험들
explicit, 명시적인
exploration, 탐색
expressing, 표현하는
extending, 확장하는
extensions, 확장들
extract, 추출하다
extracted, 추출된
extracting, 추출하는
extreme, 극단적
facilitate, 용이하게 하다
fact, 사실
faithfully, 충실하게
fake, 가짜
famous, 유명한
far, 지금까지
fare, 성과를 내다
fast, 빠른
faster, 더 빠르게
favour, 선호하다
feature, 특징
feeding, 공급하는
few, 몇몇
field, 분야
figure, 그림
file, 파일
filling, 채우는
final, 최종
finally, 마지막으로
find, 찾다
finding, 찾는
finetune, 미세조정하다
finite, 유한한
fixed, 고정된
flags, 플래그들
flow, 흐름
focus, 집중하다
focusing, 집중하는
follow, 따르다
followed, 뒤따르는
following, 따르는
footnote, 각주
for, ~을 위한
forces, 강제하다
forest, 숲
form, 형태
formal, 형식적
formally, 형식적으로
forward, 순방향
found, 발견된
frame, 구성하다
free, 해제
frequencies, 빈도들
frequency, 빈도
frequently, 자주
from, ~로부터
fully, 완전히
function, 함수
functional, 기능적
functionality, 기능성
fundamental, 근본적인
further, 더 나아가
future, 미래의
fuzzing, 퍼징
gain, 이득
gap, 격차
gated, 게이트된
gaussian, 가우시안
gave, 주었다
GCNs, GCN들
general, 일반적인
generalize, 일반화하다
generate, 생성하다
generated, 생성된
get, 얻다
give, 주다
given, 주어진
go, 가다
goal, 목표
going, 가는
good, 좋은
grams, 그램들
granularity, 세분성
graph, 그래프
grid, 그리드
grouped, 그룹화된
grow, 성장하다
growing, 증가하는
had, 가졌다
half, 절반
halting, 정지
hand, 손
handling, 다루는
hard, 어려운
has, 가지다
have, 가지다
having, 가지는
heap, 힙
help, 돕다
helper, 도우미
hence, 따라서
here, 여기
heuristics, 휴리스틱
hexadecimal, 16진수
high, 높은
higher, 더 높은
highest, 가장 높은
highlighting, 강조하는
hint, 암시하다
hope, 희망하다
hot, 핫
how, 어떻게
however, 그러나
huge, 거대한
human, 인간
hyperparameters, 하이퍼파라미터들
i.e., 즉
idea, 아이디어
if, 만약
ignores, 무시하다
ignoring, 무시하는
illustration, 그림
illustrative, 설명적인
immediate, 즉각적인
implementation, 구현
implemented, 구현했다
implied, 암시했다
importance, 중요성
important, 중요한
importantly, 중요하게도
impossible, 불가능한
improve, 개선하다
improvement, 개선
improving, 개선하는
in, ~에서
include, 포함하다
including, 포함하여
incorporate, 통합하다
incorporating, 통합하는
incorrectly, 잘못
increasing, 증가하는
increasingly, 점점 더
increment, 증가시키다
incremented, 증가된
indeed, 실제로
independent, 독립적인
indicates, 나타낸다
indices, 인덱스들
indirectly, 간접적으로
individual, 개별
individually, 개별적으로
industrial, 산업의
inefficient, 비효율적인
influence, 영향
information, 정보
infrastructure, 인프라
infrequent, 드문
input, 입력
inside, 내부
insights, 통찰들
inspect, 검사하다
inspired, 영감을 준
instance, 경우
instances, 인스턴스들
instead, 대신에
instruction, 명령어
intellectual, 지적
inter, 상호
interchangeably, 상호교환가능하게
interest, 관심
interesting, 흥미로운
intermediate, 중간
interpreted, 해석했다
interval, 간격
into, ~로
introduce, 소개하다
introduced, 도입된
introducing, 도입하는
introduction, 소개
intuitive, 직관적인
investigating, 조사하는
involve, 포함하다
IR, 중간표현
is, ~이다
issue, 문제
it, 그것
its, 그것의
itself, 그 자체
jointly, 공동으로
judge, 심사
juliet, 줄리엣
keep, 유지하다
keeping, 유지하는
kept, 유지했다
kernel, 커널
key, 핵심
kind, 종류
knowledge, 지식
known, 알려진
label, 라벨
labelled, 라벨이 붙은
laborious, 힘든
language, 언어
large, 큰
larger, 더 큰
last, 마지막
later, 나중의
latter, 후자
layer, 층
lead, 이끌다
learn, 학습하다
learned, 학습된
learning, 학습
least, 최소한
leave, 남기다
leaving, 남기는
left, 남겼다
legacy, 레거시
less, 덜
level, 수준
leveraging, 활용하는
library, 라이브러리
lifted, 들어올려진
lifting, 올리는
like, ~와 같은
limit, 제한하다
limited, 제한된
line, 줄
linearity, 선형성
linearly, 선형적으로
lines, 줄들
list, 목록
literature, 문헌
local, 지역의
logic, 논리
long, 긴
longer, 더 이상
looking, 보는
loop, 반복
loss, 손실
lossy, 손실이 있는
lost, 잃어버린
lot, 많이
low, 낮은
lower, 더 낮은
machine, 기계
macro, 매크로
made, 만들었다
main, 주요한
make, 만들다
making, 만드는
malicious, 악의적인
malware, 악성코드
manage, 성공하다
manually, 수동으로
many, 많은
margin, 차이
marked, 표시된
matching, 일치하는
mathematically, 수학적으로
matrix, 행렬
max, 최대값
may, ~일 수 있다
meaningful, 의미있는
means, 의미하다
measured, 측정된
mechanism, 메커니즘
megabytes, 메가바이트
memory, 메모리
mentioned, 언급된
message, 메시지
methods, 방법들
metric, 지표
metrics, 지표들
might, ~일지도 모른다
mind, 마음
minimal, 최소한의
mistakes, 실수들
model, 모델
modeling, 모델링하는
modelling, 모델링하는
moderate, 보통의
modifications, 수정들
more, 더
most, 가장
much, 많은
multiple, 다수의
must, ~해야 한다
natural, 자연의
naturally, 자연스럽게
naturalness, 자연스러움
nature, 본질
near, 거의
necessarily, 반드시
necessary, 필요한
need, 필요하다
needed, 필요한
needs, 필요로 하다
neighborhood, 이웃
neighbourhood, 이웃
neighbourhoods, 이웃들
neighbours, 이웃들
network, 네트워크
neural, 신경의
nevertheless, 그럼에도 불구하고
new, 새로운
next, 다음
NLP, 자연어처리
no, 아니오
noisy, 잡음이 많은
non, 비
not, 아니다
note, 주목하다
noted, 주목된
noting, 주목하는
notions, 개념들
novel, 새로운
number, 수
numbers, 숫자들
numeric, 수치의
numerical, 수치적
objective, 목적
observed, 관찰된
obtain, 얻다
obtained, 얻어진
obtaining, 얻는
of, ~의
off, 꺼진
offer, 제공하다
often, 종종
oftentimes, 종종
omitted, 생략했다
on, ~에
once, 한 번
ongoing, 진행중인
online, 온라인
only, 단지
open, 열린
operate, 작동하다
operating, 운영
operation, 연산
opposed, 반대되는
opposition, 반대
optimization, 최적화
or, 또는
order, 순서
ordering, 순서
original, 원본
originally, 원래
other, 다른
others, 다른 것들
our, 우리의
ours, 우리의 것
out, 밖의
outdated, 구식의
outperforms, 능가하다
outputs, 출력들
over, ~을 넘어
overflow, 오버플로우
overrides, 재정의하다
own, 자체의
pair, 쌍
paper, 논문
par, 동등한
paragraph, 단락
parameter, 매개변수
parent, 부모
part, 부분
particular, 특정한
particularly, 특히
pass, 패스
passed, 통과된
passing, 전달
penalty, 페널티
penetration, 침투
per, ~당
percentage, 백분율
perceptron, 퍼셉트론
perfect, 완벽한
perform, 수행하다
performance, 성능
performances, 성능들
performed, 수행했다
performing, 수행하는
performs, 수행하다
phase, 단계
pick, 선택하다
placeholder, 플레이스홀더
platform, 플랫폼
point, 점
pointer, 포인터
points, 지점들
popular, 인기있는
poses, 제시하다
position, 위치
possible, 가능한
potential, 잠재력
potentially, 잠재적으로
power, 힘
pre, 사전
precise, 정확한
precision, 정밀도
prediction, 예측
presence, 존재
present, 제시하다
presented, 제시된
preserved, 보존된
preventing, 방지하는
previous, 이전의
probably, 아마도
problem, 문제
procedural, 절차적
procedure, 절차
proceed, 진행하다
process, 과정
processing, 처리
produce, 생성하다
production, 생산
programmatic, 프로그램적
programming, 프로그래밍
promising, 유망한
prompt, 프롬프트
propagates, 전파하다
propagation, 전파
properties, 속성들
property, 재산
propose, 제안하다
proposed, 제안된
prospects, 전망들
protected, 보호된
prove, 증명하다
provide, 제공하다
provided, 제공된
provides, 제공하다
published, 출판된
purpose, 목적
putting, 놓는
qualify, 규정하다
qualitative, 질적
quantitative, 정량적
question, 질문
quite, 꽤
race, 경쟁
raises, 제기하다
random, 무작위
randomly, 무작위로
range, 범위
rapidly, 빠르게
rate, 비율
rather, 오히려
ratios, 비율들
reachable, 도달가능한
reacting, 반응하는
readers, 독자들
real, 실제
reason, 추론하다
reasonable, 합리적인
received, 받았다
recent, 최근의
recently, 최근에
recognizing, 인식하는
reconstruct, 재구성하다
reconstructing, 재구성하는
reconstruction, 재구성
recover, 복구하다
recovering, 복구하는
recovery, 복구
recreate, 재현하다
redefines, 재정의하다
reduce, 줄이다
reducing, 줄이는
redundant, 중복된
refer, 참조하다
regard, 관련
related, 관련된
relation, 관계
relatively, 상대적으로
relevant, 관련된
relies, 의존한다
rely, 의존하다
relying, 의존하는
remove, 제거하다
removes, 제거한다
reordered, 재정렬된
replaced, 교체된
replacing, 대체하는
replicating, 복제하는
report, 보고하다
reported, 보고된
reports, 보고하다
represent, 표현하다
representation, 표현
represented, 표현된
representing, 표현하는
reputation, 평판
required, 요구된
requires, 요구한다
research, 연구
researchers, 연구자들
result, 결과
resulting, 결과로 나온
results, 결과들
retrieval, 검색
retrieved, 검색된
reuse, 재사용하다
reused, 재사용된
richer, 더 풍부한
routinely, 일상적으로
row, 행
rule, 규칙
run, 실행
running, 실행하는
runs, 실행들
safety, 안전
sake, 목적
same, 같은
sample, 샘플
sampling, 샘플링하는
scalability, 확장성
scale, 규모
scaled, 크기가 조정된
schematic, 도식적
schematically, 도식적으로
scope, 범위
score, 점수
scores, 득점하다
scratch, 처음부터
search, 검색
seconds, 초
security, 보안
see, 보다
seeing, 보는
seen, 보았다
selecting, 선택하는
selection, 선택
selective, 선택적
self, 자기
semantic, 의미론적
semantically, 의미론적으로
semantics, 의미론
sense, 의미
sentence, 문장
separate, 별도의
sequence, 순서
sequences, 시퀀스들
sequential, 순차적
serializing, 직렬화하는
set, 설정하다
sets, 집합들
setting, 설정하는
setup, 설정
several, 여러
shallow, 얕은
shared, 공유된
short, 짧은
should, ~해야 한다
show, 보여주다
shown, 보여진
siamese, 샴
side, 측면
signal, 신호하다
significant, 중요한
similar, 유사한
similarity, 유사성
similarly, 유사하게
simple, 단순한
simpler, 더 단순한
simplest, 가장 간단한
simplicity, 단순성
simultaneously, 동시에
since, ~이므로
single, 단일
sink, 싱크
size, 크기
slower, 더 느린
small, 작은
smarter, 더 똑똑한
so, 그래서
softmax, 소프트맥스
software, 소프트웨어
solution, 해결책
solve, 해결하다
solved, 해결된
solving, 해결하는
some, 일부
source, 소스
space, 공간
span, 걸치다
sparsity, 희소성
specific, 특정한
specifically, 구체적으로
speed, 속도
spilled, 흘러넘친
spirit, 정신
split, 분할
spreading, 확산
st, 번째
stacked, 쌓인
stage, 단계
standard, 표준
start, 시작하다
starting, 시작하는
state, 상태
statements, 문장들
states, 상태들
static, 정적
statically, 정적으로
statistical, 통계적
statistics, 통계
step, 단계
still, 여전히
stopping, 중단
stripped, 스트립된
stripping, 스트립하기
strong, 강력한
structural, 구조적
structure, 구조
structured, 구조화된
students, 학생들
studied, 연구된
submitted, 제출된
subscript, 첨자
subset, 부분집합
substantial, 상당한
successfully, 성공적으로
such, 그러한
suggest, 제안하다
suggested, 제안했다
suite, 스위트
sum, 합
summation, 합계
support, 지원
surge, 급증
surrounding, 둘러싸는
surveys, 조사들
symbol, 심볼
syntactic, 구문론적
syntactically, 구문론적으로
syntax, 구문
synthetically, 합성적으로
system, 시스템
table, 표
tackled, 해결된
tackling, 해결하기
take, 취하다
taken, 가져온
target, 대상
task, 작업
tasks, 작업들
techniques, 기법들
tedious, 지루한
tells, 말해준다
temporaries, 임시변수들
temporary, 임시
term, 기간
terminate, 종료하다
terms, 용어들
test, 테스트하다
testing, 테스트
text, 텍스트
textual, 텍스트의
th, 번째
than, ~보다
that, 그것
the, 그
theft, 도난
their, 그들의
them, 그것들
then, 그런 다음
there, 그곳에
therefore, 따라서
these, 이러한
they, 그들
this, 이것
those, 그것들
though, 비록
threshold, 임계값
thresholding, 임계값설정
through, ~을 통해
thus, 따라서
tie, 묶다
time, 시간
to, ~에
today, 오늘날
together, 함께
tokenized, 토큰화된
tokens, 토큰들
too, 너무
tool, 도구
top, 상위
topology, 위상구조
total, 총
traces, 추적들
track, 추적하다
trade, 거래
traditionally, 전통적으로
train, 훈련하다
trainable, 훈련가능한
trained, 훈련했다
training, 훈련
traits, 특성들
translation, 번역
tree, 트리
tried, 시도했다
trimming, 정리
trivial, 사소한
trying, 노력하는
turn, 돌다
twice, 두 번
type, 유형
typical, 전형적인
unauthorized, 무단의
undecidability, 비결정성
under, ~아래
understand, 이해하다
understanding, 이해
understood, 이해된
unexplored, 탐색되지 않은
unfold, 펼치다
unfortunately, 불행히도
unlike, ~와 달리
unlikely, 가능성이 낮은
unsupported, 지원되지 않는
until, ~까지
up, 위로
update, 업데이트하다
us, 우리
use, 사용하다
used, 사용된
useful, 유용한
usefulness, 유용성
uses, 사용한다
using, 사용하여
usually, 보통
utility, 유용성
validated, 검증된
validation, 검증
value, 값
values, 값들
variability, 가변성
variable, 가변적인
variables, 변수들
variants, 변형들
variety, 다양성
vector, 벡터
vectorized, 벡터화된
vectors, 벡터들
versatility, 다재다능함
version, 버전
versions, 버전들
very, 매우
via, ~을 통해
violations, 위반들
vision, 비전
vocabularies, 어휘들
vocabulary, 어휘
volumes, 양
vulnerabilities, 취약점들
vulnerability, 취약점
vulnerable, 취약한
walks, 걸음들
want, 원하다
wanted, 원했다
was, ~였다
way, 방법
we, 우리
weakness, 약점
weaknesses, 약점들
weight, 가중치
weights, 가중치들
well, 잘
went, 갔다
were, ~였다
what, 무엇
when, ~할 때
where, ~인 곳
whereas, ~인 반면
wherever, ~하는 곳에서는
whether, ~인지 아닌지
which, 어느
while, ~하는 동안
wide, 넓은
widely, 널리
width, 폭
will, ~할 것이다
windows, 윈도우
with, ~와 함께
within, ~내에
without, ~없이
work, 작업
working, 작업하는
world, 세계
worst, 최악의
worth, 가치있는
would, ~할 것이다
written, 작성된
yet, 아직
yields, 산출하다