"I am learning English every day.","저는 매일 영어를 배우고 있습니다."
"She is reading a book in the library.","그녀는 도서관에서 책을 읽고 있습니다."
"They are watching a movie together.","그들은 함께 영화를 보고 있습니다."
"I went to the park yesterday.","저는 어제 공원에 갔습니다."
"He bought a new computer last week.","그는 지난주에 새 컴퓨터를 샀습니다."
"We will travel to Japan next year.","우리는 내년에 일본을 여행할 것입니다."
"Can you help me with my homework?","제 숙제를 도와줄 수 있나요?"
"I don't understand this question.","저는 이 질문을 이해하지 못합니다."
"She usually wakes up early in the morning.","그녀는 보통 아침에 일찍 일어납니다."
"If it rains tomorrow, we will stay home.","내일 비가 오면 우리는 집에 있을 것입니다."
"I have already finished my work.","저는 이미 제 일을 끝냈습니다."
"They have lived here for five years.","그들은 여기서 5년 동안 살아왔습니다."
"He is taller than his brother.","그는 그의 형보다 키가 큽니다."
"This restaurant is more expensive than that one.","이 식당은 저 식당보다 더 비쌉니다."
"I think learning English is very interesting.","저는 영어를 배우는 것이 매우 흥미롭다고 생각합니다."