downstream,하위의
task,작업
question,질문
answering,답변
natural,자연스러운
language,언어
inference,추론
relationship,관계
sentence,문장
train,훈련하다
understand,이해하다
binarized,이진화된
next,다음의
prediction,예측
monolingual,단일 언어의
corpus,말뭉치
specifically,구체적으로
choose,선택하다
example,예시
actual,실제의
follow,따르다
random,무작위의
demonstrate,증명하다
beneficial,유익한
representation,표현
objective,목표
prior,이전의
embedding,내재화
transfer,전이하다
parameter,매개변수
initialize,초기화하다
learning,학습
widely,널리
applicable,적용 가능한
word,단어
active,활발한
area,영역
research,연구
decade,10년
non-neural,비신경망의
neural,신경망의
method,방법
pre-trained,사전 훈련된
integral,필수적인
modern,현대의
offer,제공하다
significant,중요한
improvement,개선
system,체계
scratch,처음부터
left-to-right,왼쪽에서 오른쪽으로
discriminate,구별하다
correct,올바른
incorrect,잘못된
context,문맥
approach,접근법
generalize,일반화하다
coarse,대략적인
granularity,세분성
paragraph,단락
rank,순위를 매기다
candidate,후보
generation,생성
previous,이전의
denoising,잡음 제거
derive,도출하다
traditional,전통적인
dimension,차원
extract,추출하다
context-sensitive,문맥 의존적인
feature,특징
concatenation,연결
integrate,통합하다
advance,발전시키다
benchmark,벤치마크
sentiment,감정
analysis,분석
named entity recognition,개체명 인식
propose,제안하다
predict,예측하다
single,단일의
LSTM,장단기 메모리
similar,유사한
bidirectional,양방향의
cloze,빈칸 채우기
robustness,견고성